2026-04-29 22:43:25 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777506205): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:43:25 - PHP Warning:  fread() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:43:25 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 34
2026-04-29 22:43:25 - PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 36
2026-04-29 22:43:25 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777506205): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 23:12:12 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 577
2026-04-29 23:12:12 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 578
2026-04-29 23:12:12 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 579
2026-04-29 23:12:12 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 580
2026-04-29 23:12:29 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 577
2026-04-29 23:12:29 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 578
2026-04-29 23:12:29 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 579
2026-04-29 23:12:29 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 580
2026-04-29 23:12:31 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 577
2026-04-29 23:12:31 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 578
2026-04-29 23:12:31 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 579
2026-04-29 23:12:31 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 580
2026-04-29 23:12:32 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 577
2026-04-29 23:12:32 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 578
2026-04-29 23:12:32 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 579
2026-04-29 23:12:32 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 580
2026-04-29 23:12:32 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 577
2026-04-29 23:12:32 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 578
